debido,causa
HERIDAS PERFORANTES POR BALAS EN REGIONES CEFÁLICA Y TÓRACOABDOMINAL,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO Y ABOMINAL POR PAF,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN CRANEO -HERIDAS PERFORANTES Y PENETRANTE POR PAF EN TORAX,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO GRAVE PERFORANTE POR PAF,SIN REGISTRO
TRAUMATISMOS MULTIPLES POR PAF.,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN CRANEO - HERIDA PERFORANTE POR PAF EN TORAX,SIN REGISTRO
HERIDAS PERFORANTES DE CARA POR PAF HERIDAS PENETRANTES DE CARA POR PAF HERIDAS PERFORANTES DE MIEMBROS SUPERIORES POR PAF.,SIN REGISTRO
HERIDA PENETRANTE DE TORAX POR PAF HERIDA PENETRANTE DE MIEMBRO SUPERIOR POR PAF,SIN REGISTRO
HERIDA PERFORANTE LUMBAR POR PAF PERFORACION DE ARTERIA AORTA,SIN REGISTRO
TRAUMATISMO TORÁCICO POR PAF.,SIN REGISTRO
HERIDAS DE CURSO PENETRANTE Y PERFORANTE EN REGION CEFALICA TORAXICA Y MIEMBRO INFERIOR IZQUIERDO POR PAF,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN CRANEO-HERIDA PENETRANTE POR PAF EN TORAX,SIN REGISTRO
TRAUMATISMO TORACOABDOMINAL POR PAF,SIN REGISTRO
HERIDA DE CURSO PERFORANTE EN BRAZO DERECHO CON REENTRADA PERFORANTE EN REGION TORAXICA POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO DEBIDO A PAF,SIN REGISTRO
TRAUMATISMO TORACO ABDOMINAL DEBIDO A PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO DEBIDO A PAF,SIN REGISTRO
TRAUMATISMO TÓRACO ABDOMINAL PERFORANTE POR PAF,SIN REGISTRO
TRES HERIDAS DE CURSO PERFORANTE EN REGION CEFALICA Y ABDOMINOPELVICA POR PAF,SIN REGISTRO
TRES HERIDAS DE CURSO PERFORANTE EN REGION CEFALICA POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO PENETRANTE POR PAF,SIN REGISTRO
TRAUMATISMOS MÙLTIPLES POR PAF,SIN REGISTRO
DEGUELLO HOMICIDA,SIN REGISTRO
TRAUMATISMO ENCEFALOCRANEANO POR PAF ABIERTP,SIN REGISTRO
LACERACION CEREBRAL MULTIPLE POR PAF,SIN REGISTRO
TRAUMATISMO ENCEFALOCRANEANO POR PAF,SIN REGISTRO
TRAUMATISMO TORACO -ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
TRAUTISMO TORAXICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORACICO ABIERTO DEBIDO A PAF,SIN REGISTRO
HERIDAS MÚLTIPLES TORÁCICAS ABDOMINALES Y EN EXTREMIDADES POR BALAS DOS PENETRANTES,SIN REGISTRO
HERIDAS MÚLTIPLES POR BALA EN TÓRAX ABDOMEN Y EXTREMIDADES - UNA PENETRANTE,SIN REGISTRO
HERIDA PENETRANTE Y PERFORANTE DE CABEZA POR PAF,SIN REGISTRO
TRAUMA CERVICAL ABIERTO TRAUMA TORAXICO ABIERTO POR PAF,SIN REGISTRO
PROYECTILES DE CURSO PERFORANTE EN REGION TORAXICA Y PELVICA POR PAF,SIN REGISTRO
HERIDAS PENETRANTES DE TORAX Y ABDOMEN POR PAF,SIN REGISTRO
DOS HREIDAS DE CURSO PERFORANTE Y UNA DE CURSO PENETRANTE EN REGION CEFALICA Y REGION ABDOMINOTORAXICA POR PAF,SIN REGISTRO
TRAUMATISMO TORAXICO ABIERTO- LACERACION CAROTIDA PRIMITIVA POR PAF,SIN REGISTRO
TRAUMATISMO TORACICO POR PAF.,SIN REGISTRO
NUEVE HERIDAS DE CURSO PERFORANTE EN REGION CEFALICA Y TORAXICA POR PAF,SIN REGISTRO
TRAUMATISMO TORACICO ABIERTO POR PAF 01 PERFORANTE,SIN REGISTRO
SIETE HERIDAS DE CURSO PERFORANTE Y UNA DE CURSO PENETRANTE EN REGION CEFALOCERVICAL BRAQUIOTORAXICA Y PELVICOABDOMINAL POR PAF,SIN REGISTRO
HERIDAS PERFORANTES POR PAF EN CABEZA - HERIDAS PENETRANTES Y PERFORANTE POR PAF EN TORAX,SIN REGISTRO
TEC GRAVE POR PAF,SIN REGISTRO
TRAUMATISMO TORACO-ABDOMINAL POR PAF - 02 HERIDAS PERFORANTES,SIN REGISTRO
TRAUMATISMO ENCEFALOCRANEANO GRAVE POR PAF,SIN REGISTRO
TRAUMATISMO TORACO ABDOMINAL ABIERTO LACERACION CARDIACA AGENTE PAF,SIN REGISTRO
TRAUMATISMOS INTRACRANEALES POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE TORAX Y PELVIS POR PAF,SIN REGISTRO
TRAUMA TORAXICO ABIERTO POR PAF,SIN REGISTRO
HERIDA PENETRANTE DE TORAX POR PAF HERIDA PENETRANTE DE MIEMBRO INFERIOR IZQUIERDO POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE CABEZA CUELLO TORAX ULMBAR POR PAF HERIDAS PENETRANTES DE ABDOMEN PELVIS POR PAF,SIN REGISTRO
TRES HERIDAS DE CURSO PENETRANTE Y DIEZ DE TIPO PERFORANTE EN REGION CERVICAL TORAXICA ABDOMINAL PELVICA MIEMBROS SUPERIORES Y MIEMBROS INFERIORES POR PAF,SIN REGISTRO
SIETE HERIDAS DE CURSO PERFORANTE Y CUATRO HERIDAS DE CURSO PENETRANTE EN REGION TORAXICA ABDOMINAL PELVICA Y MIEMBROS SUPERIORES POR PAF,SIN REGISTRO
TRAUMA CRANEOENCEFÁLICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO SEVERO ABIERTO POR PAF,SIN REGISTRO
HERIDA DE CURSO PENETRANTE EN REGION ABDOMINAL POR PAF,SIN REGISTRO
HERIDAS PENETRANTES POR PAF EN CABEZA Y CUELLO - HERIDAS PERFORANTES POR PAF TORACO ABDOMINALES,SIN REGISTRO
TRAUMATISMO MULTIPLE CRANEAL Y TORACICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORACO ABDOMINO PELVICO ABIERTO POR PAF,SIN REGISTRO
HEMORRAGIA TORACO-ABDOMINAL MASIVA. TRAUMATISMOS MÚLTIPLES POR PAF,SIN REGISTRO
TRAUMATISMOS MULTIPLES POR PAF - 03 HERIDAS PENETRANTES - 03 HERIDAS PERFORANTES,SIN REGISTRO
TRAUMATISMO TORACO-ABDOMINAL ABIERTO POR PAF - 03 HERIDAS PERFORANTES - 01 HERIDA PENETRANTE,SIN REGISTRO
TRAUMATISMO VERTEBROMEDULAR CERVICAL C1 POR PAF,SIN REGISTRO
TRAUMA CRANEOENCEFÁLICO ABIERTO POR PAF - 01 PENETRANTE - POST OPERADA DE CRANIECTOMÍA DESCOMPRESIVA,SIN REGISTRO
HERIDAS PERFORANTES INTRACRANEALES POR PAF CON LACERACION EN HEMISFERIO CEREBRAL DERECHO.,SIN REGISTRO
NUEVE HERIDAS PERFORANTES Y UNA PENETRANTE POR PAF,SIN REGISTRO
TEC SEVERO X PAF,SIN REGISTRO
TRAUMATISMO ABDOMINAL ABIERTO X PAF,SIN REGISTRO
LACERACION Y CONTUSION ENCEFALICA POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE TORAX POR PAF/ HERIDA PERFORANTE DE CARA POR PAF / HERIDAS PERFORANTES DE MIEMBROS SUPERIORES POR PAF,SIN REGISTRO
HERIDAS PERFORANTES Y PENETRANTES DE CABEZA POR PAF,SIN REGISTRO
HEMORRAGIA CEREBRAL Y LACERACION ENCEFALICA POR PAF,SIN REGISTRO
TRAUMATISMO TORACOABDOMINAL ABIERTO PRO PAF,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN TORAX CON REINGRESO PENETRANTE EN BRAZO IZQUIERDO,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN CABEZA (2) HERIDAS PERFORANTES Y UNA PENETRANTE POR PAF EN ABDOMEN - PELVIS,SIN REGISTRO
(3) HERIDAS PENETRANTES POR PAF EN CABEZA (1) HERIDA PERFORANTE POR PAF EN TORAX,SIN REGISTRO
(1) HERIDA PENETRANTE POR PAF EN TORAX (3) HERIDAS PERFORANTES POR PAF EN TORAX (1) HERIDA PENETRANTE TORACO PELVICO,SIN REGISTRO
SHOCK HIPOVOLEMICO POR TRAUMATISMO MULTIPLE POR PAF,SIN REGISTRO
1. HEMORRAGIA INTERNA Y EXTERNA 2. TRAUMATISMO TORACICO ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO ABIERTO POR PAF. TRAUMATISMO TORACO ABDOMINAL ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMO VERTEBROMEDULAR CERVICAL C6 POR PAF,SIN REGISTRO
HEMONEUMOTORAX MASIVO - LACERACIÓN PULMONAR Y CARDÍACA - TRAUMATISMO TORACOABDOMINAL ABIERTO POR PAF,SIN REGISTRO
LACERACION ENCEFALICA - HEMORRAGIA SUB ARACNOIDEA TRAUMATICA POR PAF - 01 PERFORANTE,SIN REGISTRO
HERIDA PENETRANTE POR PAF ABDOMINO TORAXICA,SIN REGISTRO
HERIDA PENETRANTE DE CABEZA POR PAF,SIN REGISTRO
TRAUMATISMO DE MACIZO FACIAL - CERVICAL ABIERTO POR PAF PERFORANTE 1,SIN REGISTRO
HERIDA PERFORANTE CERVICOFACIAL 01 POR PAF,SIN REGISTRO
HERIDA PENETRANTE DE CUELLO POR PAF,SIN REGISTRO
TRAUMATISMO TOCACICO ABIERPO POR PAF,SIN REGISTRO
TRAUMATISMO TORAICO ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO MACIZO FACIAL ABIERTO POR PAF 01 PERFORANTE,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFÁLICO SEVERO POR PAF MÚLTIPLE,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO SEVERO ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMO VERTEBRAL MEEDULAR POR PAF,SIN REGISTRO
TRAUMATISMO MULTIPLES POR PAF,SIN REGISTRO
TEC ABIERTO POR PAF,SIN REGISTRO
LACERACIONES CEREBRALES MULTIPLES TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORACIXO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO ENCÉFALO CRANEANO SEVERO ABIERTO POR PAF,SIN REGISTRO
MUERTE VIOLENTA POR SUMERSION,SIN REGISTRO
TRAUMATISMO ENCEFALO CRANEANO ABIERTO DEBIDO A PAF,SIN REGISTRO
TRAUMATISMOS MULTIPLES POR PAF -05 HERIDAS PENETRANTES-02 HERIDAS PERFORANTES,SIN REGISTRO
TRAUMATISMOS MULTIPLES POR PAF-04 HERIDAS PENETRANTES-12 HERIDAS PERFORANTES,SIN REGISTRO
HEMORRAGIA INTRATORACICA MASIVA - LACERACIONES MULTIVISCERALES POR TRAUMATISMO TORACO ABDOMINAL ABIERTO POR PAF - STATUS POST QUIRÚRGICO.,SIN REGISTRO
TRAUMATISMO CERVICAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TARAXICO ABDOMINAL POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO CERVICAL POR PAF,SIN REGISTRO
LACERACION DE AORTA TORAXICA POR PAF,SIN REGISTRO
DISPARO POR PAF,SIN REGISTRO
HERIDA PERFORANTE DE TORAX 01 POR PAF,SIN REGISTRO
SHOCK HIPOVOLEMICO POR PAF.,SIN REGISTRO
HERIDA PENETRANTE DE TORAX 01 POR PAF,SIN REGISTRO
TRAUMATISMO TORÁCICO ABIERTO POR PAF - SHOCK HIPOVOLEMICO.,SIN REGISTRO
HEMOTÓRAX - HEMOPERITONEO POR PAF,SIN REGISTRO
HEMOTÓRAX BILATERAL POR PAF,SIN REGISTRO
HERIDAS PENETRANTES DE TORAX 02 POR PAF,SIN REGISTRO
LACERACIÓN Y CONTUSIÓN ENCEFÁLICA POR PAF,SIN REGISTRO
1. HERIDA PERFORANTE DE CORAZON 2. TRAUMATISMO TORACO ABIERTO POR PAF.,SIN REGISTRO
HERIDA PENETRANTE Y PERFORANTES DE TORAX POR PAF,SIN REGISTRO
CONTUSION Y LACERACION ENCEFALICA POR PROYECTIL DE ARMA DE FUEGO PAF.,SIN REGISTRO
TRAUMATISMOS MULTIPLES POR PAF-03 HERIDAS PENETRANTES-06 HERIDAS PERFORANTES,SIN REGISTRO
HERIDAS PENETRANTES DE CARA TORAX ABDOMEN POR PAF,SIN REGISTRO
HERIDA PENETRANTE TORACOPELVICA 01 POR PAF,SIN REGISTRO
HERIDA PERFORANTE Y PENETRANTE DE CABEZA POR PAF HERIDA PENETRANTE TORACO PELVICA POR PAF HERIDAS PERFORANTES DE ABDOMEN Y MUSLO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFÁLICO ABIERTO POR PAF. FRACTURAS MÚLTIPLES DE BASE Y BÓVEDA CRANEAL. LACERACIONES CEREBRALES MÚLTIPLES.,SIN REGISTRO
LACERACIÓN Y CONTUSIÓN CRAANEOENCEFÁLICA POR PAF,SIN REGISTRO
HERIDAS PERFORANTES DE MIEMBROS INFERIORES POR PAF SECCION DE ARTERIA FEMORAL DERECHA.,SIN REGISTRO
LACERACIÓN Y CONTUSIÓN ENCEFÁLICA POR PAF 01 PENETRANTE,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFÁLICO SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO LUMBAR TORAXICO ABIERTO POR PAF - 01 HERIDA PERFORANTE,SIN REGISTRO
LACERACIÓN CONTUSIÓN ENCEFÁLICA POR PAF 01 PENETRANTE,SIN REGISTRO
HERIDAS PENETRANTES DE TORAX POR PAF. HERIDA PERFORANTE LUMBAR POR PAF. HERIDAS PENETRANTES Y PERFORANTES DE MIEMBROS SUPERIORES POR PAF,SIN REGISTRO
LACERACIÓN - CONTUSIÓN ENCEFÁLICA POR PAF .. 02 PERFORANTES,SIN REGISTRO
LACERACIÓN CERVICAL- TÓRACO - ABDOMINAL POR PAF,SIN REGISTRO
TRAUMATISMO ABIERTO CRANEO ENCEFÁLICO Y TORACICO SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO VERTEBROMEDULAR TORÁCICO 02 POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO Y TORACICO SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFÁLICO ABIERTO POR PAF PENETRANTE.,SIN REGISTRO
HERIDA PERFORANTE DE CABEZA POR PAF HERIDA PENETRANTE DE TORAX POR PAF HERIDA PERFORANTE DE MUSLO DERECHO POR PAF,SIN REGISTRO
LACERACIÓN Y CONTUSIÓN ENCEFÁLICO POR PAF,SIN REGISTRO
HERIDA PERFORANTE DE TORAX POR PAF HERIDA PENETRANTE DE CUELLO POR PAF.,SIN REGISTRO
1. SHOCK HIPOVOLEMICO 2. HEMORRAGIA INTERNA Y EXTERNA MASIVA 3. TRAUMATISMO TORACO-ABDOMINAL ABIERTO POR PAF.,SIN REGISTRO
HEMORRAGIA TORACOABDOMINAL MASIVO. TRAUMATISMO TORACOABDOMINAL ABIERTO POR PAF DISPARADO.,SIN REGISTRO
HERIDA PENETRANTE DE MUSLO IZQUIERDO POR PAF LACERACION DE ARTERIA FEMORAL IZQUIERDA.,SIN REGISTRO
HERIDA PENETRANTE POR PAF,SIN REGISTRO
HERIDAS PENETRANTES DE TORAX POR PAF,SIN REGISTRO
- PAF,SIN REGISTRO
DAÑO MÚLTIPLE DE ÓRGANOS. STATUS POSTQUIRURGICO. TRAUMATISMO TORACOABDOMINALES MÚLTIPLES POR PAF.,SIN REGISTRO
HERIDAS PERFORANTES DE TORAX POR PAF.,SIN REGISTRO
TRAUMATISMO TÓRACO ABDOMINAL ABIERTO POR PAF.,SIN REGISTRO
LACERACIONES CEREBRALES MULTIPLES. HEMOTORAX MASIVO. TRAUMATISMOS MULTIPLES POR PAF,SIN REGISTRO
HEMOTORAX MASIVO. LACERACIONES MULTIVISCERALES. TRAUMATISMO TORACOABDOMINAL ABIERTO POR PAF.,SIN REGISTRO
HEMOTORAX BILATERAL POR PAF,SIN REGISTRO
TRAUMATISMOS TORACOABDOMINALES ABIERTOS MÚLTIPLES POR PAF. ESTADO POSTQUIRURGICO.,SIN REGISTRO
HEMORRAGIA INTRATORACICA MASIVA. LACERACION ARTERIA AORTA TORACICA. TRAUMATISMO TORACICO ABIERTA POR PAF.,SIN REGISTRO
HEMORRAGIA INTRACRANEAL MASIVA. LACERACIONES CEREBRALES MULTIPLES. TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF.,SIN REGISTRO
CONTUSIÓN - LACERACIÓN ENCEFÁLICA POR PAF,SIN REGISTRO
LACERACIÓN - CONTUSIÓN ENCEFÁLICO POR PAF,SIN REGISTRO
LESION POR PAF PERFORANTE DE CORAZON Y PULMON,SIN REGISTRO
1. LACERACIÓN AÓRTICA 2. TRAUMATISMO TORÁCICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMOS TORACO ABDOMINAL POR PAF.,SIN REGISTRO
LACERACION ARTERIA SUBCLAVIA DERECHA. LACERACIONES MULTIPLES PULMONARES. TRAUMATISMO TORACICO ABIERTO POR PAF.,SIN REGISTRO
LACERACION CONTUSION PULMONAR DERECHA POR PAF,SIN REGISTRO
HERIDA PENETRANTE DE CABEZA POR PAF.,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFÁLICO ABIERTO POR PAF Y TRAUMATISMO TORACICO ABIERTO POR PAF.,SIN REGISTRO
TRAUMATISMO DE MACIZO FACIAL - VERTEBRO MEDULAR CERVICAL POR PAF,SIN REGISTRO
TRAUMATISMO TORACO - ABDOMINAL PÉLVICO POR PAF,SIN REGISTRO
SHOCK HIPOVOLÉMICO POR PAF,SIN REGISTRO
TRAUMATISMO VERTEBRO MEDULAR TORÁCICO T4.T5.T6 POR PAF,SIN REGISTRO
HEMOTÓRAX BILATERAL - LACERACIÓN - CONTUSIONN PULMONAR - AORTA TORACICA - TRAQUEA POR PAF,SIN REGISTRO
SHOCK HIPOVOLEMICO POR TRAUMATISMO FACIAL POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO Y TORACICO SEVERO PERFORANTE POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFÁLICO TORACO ABDOMINAL SEVERO PERFORANTE POR PAF.,SIN REGISTRO
TRAUMATISMO TORAXICO ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
PERFORACION DE AORTA ABDOMINAL POR PAF,SIN REGISTRO
LACERACIÓN DE ARTERIA AORTA. HEMOTÓRAX MASIVO. TRAUMATISMO TORÁCICO ABIERTO POR PAF.,SIN REGISTRO
CONTUSIÓN Y LACERACIÓN ENCEFALICA POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINO TORACICO ABIERTO POR PAF,SIN REGISTRO
CONTUSION Y LACERACION ENCEFALICA - HERIDA PENETRANTE POR PAF,SIN REGISTRO
LACERACIÓN - CONTUSIÓN VASCULAR - MEDULAR CERVICAL POR PAF,SIN REGISTRO
LACERACIÓN - CONTUCIÓN ENCEFÁLICA POR PAF,SIN REGISTRO
1. HEMORRAGIA MASIVA INTERNA Y EXTERNA 2. TRAUMATISMO TORACO ABDOMINAL ABIERTO POR PAF.,SIN REGISTRO
HERIDA PERFORANTE DE CABEZA POR PAF.,SIN REGISTRO
CONTUSIÓN Y LACERACIÓN ENCEFÁLICA POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINAL ABIERTO POR PAF TRAUMA RETROPERITONEAL POR PAF HEMOPERITONEO,SIN REGISTRO
HERIDAS PERFORANTES Y PENETRANTES DE TORAX POR PAF. HERIDA PERFORANTE DE CABEZA POR PAF.,SIN REGISTRO
SHOCK HIPOVOLEMICO HEMORRAGIA PROFUSA POR PAF PIERNA DERECHA,SIN REGISTRO
SHOCK HIPOVOLEMICO LACERACION CARDIACA Y PULMONAR HERIDAS PERFORANTES POR PAF EN TORAX Y MUSLO DERECHO.,SIN REGISTRO
HEMOTÓRAX TRAUMÁTICO POR PAF,SIN REGISTRO
TRAUMATISMO TÓRACO - ABDOMINO - PÉLVICO ABIERTO POR PAF,SIN REGISTRO
TRAUMATIMOS ENCEFALO CRANEANO GRAVE POR PAF,SIN REGISTRO
HERIDA PENETRANTE DE CABEZA POR PAF HERIDA PERFORANTE DE CUELLO POR PAF,SIN REGISTRO
HERIDA PERFORANTE TORACOPELVICA POR PAF,SIN REGISTRO
HERIDA PERFORANTE BRAQUIOTORAXICA POR PAF - HERIDA PENETRANTE DE TORAX POR PAF,SIN REGISTRO
LACERACION ENCEFALICA POR PAF,SIN REGISTRO
HERIDAS PENETRANTES BRAQUIOTORAXICAS POR PAF,SIN REGISTRO
LACERACIÓN - CONTUSIÓN ENCEFÁLICA POR PAF.,SIN REGISTRO
TRAUMATISMO CORPORAL MÚLTIPLE POR PAF 01 PENETRANTE EN CABEZA 01 PERFORANTE EN TÓRAX 01 PENETRANTE EN ABDOMEN,SIN REGISTRO
LACERACIÓN - CONTUSIÓN PULMONAR Y CARDIACA - HEMOTÓRAX TRAUMÁTICO POR PAF,SIN REGISTRO
LACERACION CARDIACA POR PAF,SIN REGISTRO
HERIDAS PERFORANTE Y PENETRANTE DE CABEZA POR PAF,SIN REGISTRO
HERIDAS PENETRANTES Y PERFORANTES POR PAF,SIN REGISTRO
LACERACION ENCEFALICA X PAF,SIN REGISTRO
SHOCK HIPOVOLEMICO PAF,SIN REGISTRO
POR PAF CARDIACO TRAUMATISMO CRANEANO ENCEFALICO ABIERTO,SIN REGISTRO
TRAUMA ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
TEC ABIERTO SEVERO POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO ABIERTO PO PAF,SIN REGISTRO
TRAUMATISMO POR PAF,SIN REGISTRO
TRAUMATISMO TORÁCICO ABIERTO POR PAF. CON COMPROMISO PULMONAR,SIN REGISTRO
01 HERIDA PERFORANTES EN REGION ABDOMINAL POR BALA,SIN REGISTRO
TEC GRAVE X PAF,SIN REGISTRO
HERIDAS PENETRANTES DE CABEZA POR PAF,SIN REGISTRO
TRAUMATISMO CRANEO CERVICAL ABIERTO POR PAF (01 PENETRANTE),SIN REGISTRO
HERIDA PENETRANTE ABDOMEN POR PAF,SIN REGISTRO
04 HERIDAS PERFANTES POR PAF EN TORAX,SIN REGISTRO
TRAUMATISMO TORACICO ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
TRAUMATISMO TORACO ABDOMINAL PR PAF,SIN REGISTRO
HERIDA PERFORANTE Y PENETRANTE DE TORAX POR PAF,SIN REGISTRO
LACERACION - CONTUSION ENCEFALICA POR PAF,SIN REGISTRO
HERIDA PERFORANTE BRAQUIOTORAXICA POR PAF,SIN REGISTRO
HERIDA PENETRANTE CON REINGRESO PENETRANTE BRAQUIOTORACICO POR PAF,SIN REGISTRO
02 HERIDAS PERFORANTE Y 01 PENETRANTE EN CABEZAHERIDA PERFORANTE POR PAF ABDOMINOTORACICO.,SIN REGISTRO
LACERACIÓN CONTUSIÓN POR PAF TRAUMATIMOS CRANEO ENCEFALICO ABIERTO POR PAF,SIN REGISTRO
HERIDA PENETRANTE CRANEOFACIAL POR PAF ENCAMISETADO,SIN REGISTRO
01 HERIDA PENETRANTE FACIO CERVICAL POR PAF.,SIN REGISTRO
LESIONES PERFORANTES POR PAF EN AMBOS PULMONES.,SIN REGISTRO
HERIDAS POR PAF EN CABEZA TORAX Y PELVIS,SIN REGISTRO
HERIDA PENETRANTE EN CABEZA POR PAF,SIN REGISTRO
TRAUMATISMO CRANEOENCEFÁLICO ABIERTO POR PAF - 02 PENETRANTES 01 PERFORANTE -,SIN REGISTRO
TRAUMATISMO TORACICO POR PAF,SIN REGISTRO
HERIDAS POR PAF EN CABEZA CUELLO TÓRAX ABDOMEN PELVIS Y MUSLO IZQUIERDO,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO ABIERTO POR PAF TRAUMÁTISMO TÓRACICO ABIERTO POR PAF.,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN CABEZA Y HERIDA PENETRANTE POR PAF EN CARA-NUCA,SIN REGISTRO
HERIDAS POR PAF EN TÓRAX Y BRAZO DERECHO,SIN REGISTRO
HERIDAS POR PAF EN TORAX ABDOMEN Y HOMBRO IZQUIERDO,SIN REGISTRO
HERIDA POR PAF EN CABEZA CUELLO Y MANO IZQUIERDA,SIN REGISTRO
HERIDA PENETRANTE 01 DE TORAX A CABEZA POR BALA,SIN REGISTRO
LESIONES PERFORANTES POR PAF EN AMBOS PULMONES Y AORTA,SIN REGISTRO
HERIDA PENETRANTE POR PAF TORACO ABDOMINAL,SIN REGISTRO
02 HERIDAS PENETRANTES POR PAF EN TORAX,SIN REGISTRO
TRAUMATISMO ABDOMINAL POR PAF.,SIN REGISTRO
LACERACIÒN CEREBRAL POR PAF,SIN REGISTRO
HERIDA PENETRANTE 01 EN CARA - CUELLO POR BALA,SIN REGISTRO
PERFORACIÓN TRAQUEAL Y PULMONAR POR PAF.,SIN REGISTRO
-2- HERIDAS PERFORANTES Y -2- HERIDAS PENETRANTES POR PAF EN CABEZA,SIN REGISTRO
HERIDA PERFORANTE POR PAF EN ABDOMEN,SIN REGISTRO
LACERACIÓN PULMONAR POR PAF,SIN REGISTRO
HERIDA PERFORANTE EN CABEZA POR PAF,SIN REGISTRO
TRAUMATISMO ABDOMINAL ABIERTO POR PAF. ESTADO POST QUIRÚRGICO..,SIN REGISTRO
HERIDAS PENETRANTES DE HOMBRO TORAX ABDOMEN POR PAF,SIN REGISTRO
HERIDAS CONTUSAS POR PAF EN CABEZA CUELLO TORAX EXTREMIDAD INFERIOR IZQUIERDA,SIN REGISTRO
TRAUMATISMO TÓRACO-ABDOMINAL ABIERTO POR PAF,SIN REGISTRO
HERIDA PENETRANTE 1 EN CABEZA POR BALA,SIN REGISTRO
HERIDA PENETRANTE 1 EN CARA-CUELLO POR BALA,SIN REGISTRO
HERIDA PENETRANTE POR PAF EN CABEZA Y 3 HERIDAS PERFORANTES POR PAF EN HEMITORAX DERECHO,SIN REGISTRO
HERIDAS MULTIPLES POR PAF,SIN REGISTRO
HERIDA PENETRANTE EN REGIÓN TORACO ABDOMINAL 01 POR PAF.,SIN REGISTRO
01 HERIDA PERFORANTE POR PAF.,SIN REGISTRO
SECCION DE MEDULA ESPINAL POR PAF,SIN REGISTRO
TRAUMA CRANEAL SEVERO POR PAF,SIN REGISTRO
UNA HERIDA PENETRANTE Y UNA HERIDA PERFORANTE POR PAF EN CABEZA Y UNA HERIDA PENETRANTE POR PAF EN CARA -CUELLO-ESPALDA,SIN REGISTRO
HERIDAS POR PAF EN CABEZA Y MUSLO IZQUIERDO,SIN REGISTRO
HERIDAS PERFORANTE 01 EN CABEZA PENETRANTE 01 EN TORAX- ABDOMEN Y PERFORANTES DE MIEMBROS SUPERIORES POR BALAS,SIN REGISTRO
HERIDAS POR PAF EN CUELLO Y TÓRAX,SIN REGISTRO
TRAUMATISMO CRANEO ENCEFALICO POR PAF.,SIN REGISTRO
HERIDA PERFOROCONTUSA DE CURSO PERFORANTE EN CABEZA 01 POR PAF,SIN REGISTRO
HERIDA PERFORANTE POR BALA EN MIEMBRO INFERIOR IZQUIERDO,SIN REGISTRO
TRAUMATISMO CRANEOENCEFALICO POR PAF.,SIN REGISTRO
